,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
0,Hr Manager,Mumbai,Full Time,HR Operations Department,9 Aug 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,good medical benefits eventually you will need it considering the terrible working environment and culture,terrible reward and recognition zero appreciation
1,Deputy Project Manager,"Meerut, Uttar Pradesh",Full Time,Construction / Manufacturing Department,9 Aug 2023,4.0,2.0,4.0,4.0,4.0,4.0,4.0,freedom to experiment no shortcuts to take even though work is loss good quality procedure etc,sometimes feels like semi government so many protocol and rules people are enjoying the loopholes in the system
2,Manager,Vadodara/Baroda,Full Time,Engineering & Manufacturing Department,8 Aug 2023,4.0,4.0,3.0,3.0,4.0,3.0,3.0,noting much as a manager,no learning as 14 yes ex manager lot of deduction in salary some of te l t sub its like got job here in my sub no workflow has been set not enough resources to work
3,Scm Buyer,Mumbai,Full Time,Procurement & Purchase Department,7 Aug 2023,5.0,2.0,2.0,5.0,3.0,5.0,1.0,company good for growth and great learning opportunities,company doesn t offer work from home at any condition no flexible working hours no saturday off
4,Construction Manger(Civil),New Delhi,Full Time,Construction Engineering Department,7 Aug 2023,4.0,3.0,4.0,3.0,4.0,4.0,2.0,good any salary payment on time good support by manners but boss people got promotion and rating working 15 years from l t,need review the appraisal and promotions process
5,Lead Clinical Evaluation Expert-Medical Devices (Third Party Consultant),Bangalore/Bengaluru,Full Time,Health Informatics Department,7 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nothing,all mechanical background people come and start working in medical domain and on top of everything they are in higher positions just because of their number of years experience not because of their relevant knowledge in the medical industry it is very frustration for skilled professional to reason with their little to zero knowledge
6,Accounts Manager,Jalandhar,Full Time,Accounting & Taxation Department,6 Aug 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0,salary on time training and other employee benefits,higher management is not suppurative to project team and apparently long delay in crucial decision making
7,Assistant Manager Electrical,"Jodhpur, Rajasthan",Full Time,Construction Engineering Department,6 Aug 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,company is 5 star rate l t is very good for its employees,some management is not good they undertake their subordinates wanted they plays politics with their life s
8,Asst. General Manager - Environment,Kattupalli,Full Time,Administration Department,6 Aug 2023,2.0,2.0,2.0,3.0,2.0,1.0,1.0,i like only the medical allowance given for treatments,straight forward people can not survey in this company appraisal process is very worst only navy ex service person will be lifted here
9,Hr Trainee Generalist,New Delhi,Full Time,HR Operations Department,5 Aug 2023,1.0,1.0,5.0,1.0,1.0,5.0,1.0,skill and knowledgeable,nobody listens to the employees there is zero corporate culture scar on the name of corporate the people on high positions are good but the staff working under them is very clever and selfish all face false promises with employees which are of no use
10,Individual Relationship Officer,Kolkata,Contractual,Employee Relations Department,5 Aug 2023,4.0,4.0,5.0,5.0,4.0,5.0,4.0,l t is a great platform to learning and developing skill i learned a lot from large and tour the way of working is very advanced and systematic,promotions appraisal is not good everyone should be treated equally in employment and promotion
11,Senior Specialist - Data Sciences,Mumbai,Full Time,Data Science & Machine Learning Department,5 Aug 2023,4.0,4.0,4.0,4.0,4.0,5.0,3.0,employee friendly policies good data science projects learning focused on new and emerging technologies,annual appraisal process not transparent
12,Assistant Construction Manager,New Delhi,Full Time,Construction Engineering Department,5 Aug 2023,4.0,2.0,2.0,5.0,4.0,2.0,5.0,as they provide better salary and growth in terms for money provides good accommodation and transportation,as the person from tier 1 college the personal and technical growth in at l t sites is not as much
13,Senior Specialist - Snowflake,"Pune, Maharashtra",Full Time,Health Informatics Department,4 Aug 2023,3.0,2.0,1.0,3.0,3.0,4.0,1.0,company policies and being head office in lumbar is best thing salary offered is good focus on more mortification free voucher for mortification good projects,most of associates has no expertise mostly offshore work you will not get technical experts in company attention rate is higher most associate boast about skill but actual hands experience is less no actual training for upskilling you are on your own mismanagement in projects
14,Chief Surveyor,New Delhi,Full Time,Surveying Department,4 Aug 2023,4.0,2.0,2.0,3.0,4.0,2.0,2.0,salary date with fixed never change,purely tail regional company only tail people will get highest benefits training program not related to job skill capability doesn t matter only relation with top boss requires to get benefits
15,Assistant Construction Manager,"Amritsar, Punjab",Full Time,Construction Engineering Department,4 Aug 2023,2.0,2.0,2.0,3.0,4.0,1.0,2.0,only job security with a condition if you enrolled in organization that you must to be ensure that you are on the company patrol don t join this organization as a etc employee once you joined as a etc you will not be permanent till life,everything is dislike i suggested to everyone don t join this company on the basis their brand name if you had another option except to this kindly join other organization and skin this
16,Safety Officer,"Bengaluru/Bangalore, Karnataka",Full Time,Occupational Health & Safety Department,4 Aug 2023,3.0,3.0,4.0,3.0,2.0,3.0,2.0,i would like to do safety officer job in construction you will learn to much thing in l t company overall good company if you are interested in construction field and all,they will not give you promotion early they will take to many year to review your performance then company will think about you
17,Computer Vision Specialist,"Vadodara, Gujarat",Full Time,Software Development Department,4 Aug 2023,4.0,4.0,2.0,3.0,3.0,3.0,3.0,there are work flexibility and flexible hours,job security they can put you on bench any time without informing you even after a good performance
18,Mechatronics Engineer   (working remotely),,Full Time,Plant & Machinery  Department,4 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,3.0,proud to be working in mac and having great experience,my placement time got message will deploy you in tm work even though i worked in tm as well as learn lots of thing s but after getting separate kept tunnel no one transferring as well as interested that s very much painful if you selected people for special work as well as the person also early dedicate for the work then why not deploying them that s very much poor and painful situation
19,Engineer,"Mysuru/Mysore, Karnataka",Full Time,Data Science & Machine Learning Department,4 Aug 2023,3.0,2.0,3.0,3.0,5.0,3.0,1.0,i am working in more location its having a good camps to enjoy good colleges and friends,higher management doesn t care about you or your family its like you are employee and whatever we told you have to do doesn t matter whatever problem you are facing i wanted lumbar location due to some family issue but higher management behaved very rudely
20,Engineer Systems,Kolkata,Full Time,Construction Engineering Department,3 Aug 2023,3.0,2.0,2.0,1.0,3.0,2.0,2.0,muttering for your boss and senior,dirty politics partiality with south drissa and west bengal people not getting promotion one time
21,Field Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Telecom Department,3 Aug 2023,3.0,2.0,1.0,2.0,1.0,3.0,1.0,good support from colleges,worst likes and no salary incitement and salary low but 10 people work and not a engineer job but cal has courier service
22,Sr. Construction Engineer,"Balangir, Odisha",Full Time,Construction Engineering Department,4 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,work culture planning discipline leadership qualities environmental health safety quality superior supports transportation facilities it s a better opportunity for my carriers,extendable duty hours shift duties rating appraisal
